Year;Month;Day;Hour;Az;hs;G_Bn;G_Dh;G_Gh;Ta;Tsky;N;FF;DD;RH;p
2005;1;2;10;-45.4;22.5;55;183;237;16.4;5.6;7;2.3;181;77;1012
2005;1;2;11;-33.3;31;78;248;326;17.9;4.9;7;2.4;147;64;1012
2005;1;2;12;-18.2;36.8;273;238;511;19.8;4;5;1.9;211;59;1012
2005;1;2;13;-1;39.1;139;300;438;20.7;5.6;7;2.8;176;56;1013
2005;1;2;14;16.2;37.3;148;291;439;21.3;5.4;7;3.1;151;53;1012
2005;1;2;15;31.5;31.8;189;216;404;21.7;5.1;5;2.3;105;52;1012
2005;1;2;16;44.2;23.6;178;144;322;21.6;3.9;4;2.8;157;49;1012
2005;1;2;17;54.2;13.6;123;110;233;21.2;2.5;4;2.3;156;52;1012
2005;1;2;18;62.3;2.3;0;13;13;19.8;2.2;4;2.6;186;58;1012
2005;1;2;19;69.1;0;0;0;0;19.1;3;4;1.6;152;65;1012
2005;1;2;20;75;0;0;0;0;18.5;1.9;4;1.1;213;62;1012
2005;1;2;21;80.3;0;0;0;0;17.7;2;4;0.9;198;67;1012
2005;1;2;22;86.1;0;0;0;0;17;1.8;4;0.7;245;71;1012
2005;1;2;23;93.1;0;0;0;0;16.3;1.5;4;0.5;267;73;1012
2005;1;2;24;105.4;0;0;0;0;15.5;1.1;4;0.3;323;76;1012
2005;1;3;1;-169.5;0;0;0;0;15.1;1.3;4;0.2;299;80;1011
2005;1;3;2;-108.5;0;0;0;0;14.7;1.5;4;0.2;305;85;1011
2005;1;3;3;-94.3;0;0;0;0;14.3;0.4;4;0.4;302;80;1011
2005;1;3;4;-87.1;0;0;0;0;14;1;3;0.3;306;86;1011
2005;1;3;5;-81.2;0;0;0;0;13.8;0.6;3;0.4;309;85;1011
2005;1;3;6;-75.5;0;0;0;0;13.6;0.9;3;0.3;306;88;1011
2005;1;3;7;-69.6;0;0;0;0;13.4;0.8;3;0.5;308;89;1011
2005;1;3;8;-63.2;0.8;0;6;6;13.6;0.6;3;0.6;300;86;1011
2005;1;3;9;-55.3;12.3;152;49;202;16.8;2.6;3;0.7;306;75;1011
2005;1;3;10;-45.5;22.5;288;148;436;20.2;1.4;3;0.8;237;58;1011
2005;1;3;11;-33.4;31;132;243;374;21.3;6;6;1.6;238;56;1011
2005;1;3;12;-18.3;36.9;11;214;225;21.1;9;8;1.6;205;56;1011
2005;1;3;13;-1.1;39.2;0;58;58;20.1;11.6;8;2.1;225;61;1010
2005;1;3;14;16.2;37.4;33;249;282;20.3;9.1;8;1.6;149;64;1010
2005;1;3;15;31.5;32;161;245;406;21;6.8;6;1.1;190;63;1010
2005;1;3;16;44.2;23.8;225;142;367;21.3;5.4;4;1.5;204;60;1010
2005;1;3;17;54.2;13.7;11;82;93;20.4;9.8;4;2.8;232;64;1010
2005;1;3;18;62.3;2.4;0;5;5;19.3;9.5;4;4.4;159;68;1010
2005;1;3;19;69.1;0;0;0;0;18.7;9.9;5;4.2;30;74;1010
2005;1;3;20;75;0;0;0;0;18.3;9.8;5;3.1;22;76;1010
2005;1;3;21;80.3;0;0;0;0;17.7;9.6;5;3.1;104;78;1009
2005;1;3;22;86.2;0;0;0;0;17.1;9.3;5;3.5;88;79;1009
2005;1;3;23;93.2;0;0;0;0;16.6;8.7;5;3.3;85;80;1009
2005;1;3;24;105.5;0;0;0;0;16;9.2;6;3.3;70;86;1009
2005;1;4;1;-168.5;0;0;0;0;15.6;8.5;6;3.1;98;84;1009
2005;1;4;2;-109.2;0;0;0;0;15.2;8.5;6;3.1;105;86;1009
2005;1;4;3;-94.4;0;0;0;0;14.9;8.2;6;3.5;77;86;1009
2005;1;4;4;-87.2;0;0;0;0;14.7;8.4;7;4;63;89;1009
2005;1;4;5;-81.3;0;0;0;0;14.5;8.3;7;5;32;89;1008
2005;1;4;6;-75.6;0;0;0;0;14.3;8.6;7;3.7;20;92;1008
2005;1;4;7;-70.1;0;0;0;0;14.2;8.5;7;2.4;78;92;1008
2005;1;4;8;-63.3;0.8;0;3;3;14.1;8.7;8;2.1;191;93;1008
2005;1;4;9;-55.4;12.2;0;51;51;15;9.5;8;2.1;183;91;1008
2005;1;4;10;-46;22.5;4;148;152;16.3;9.1;8;1.5;171;88;1008
2005;1;4;11;-33.5;31.1;12;228;241;17.7;8.8;8;1.8;229;80;1008
2005;1;4;12;-18.4;36.9;13;255;268;18.6;10.5;8;1.5;171;82;1008
2005;1;4;13;-1.2;39.3;5;226;231;19;11.2;8;2.4;217;79;1008
2005;1;4;14;16.1;37.5;3;206;209;19.1;12.2;8;1.5;213;84;1008
2005;1;4;15;31.4;32.1;3;193;196;19.3;11.1;8;1.1;212;77;1008
2005;1;4;16;44.2;23.9;0;134;134;19.1;12;8;1.1;269;82;1008
2005;1;4;17;54.2;13.8;0;80;80;18.2;12.5;8;1.3;267;93;1008
2005;1;4;18;62.3;2.5;0;3;3;18;12;7;1.8;182;92;1009
2005;1;4;19;69.1;0;0;0;0;17.4;11.3;7;1.8;175;94;1009
2005;1;4;20;75.1;0;0;0;0;16.7;10.5;6;2.3;155;95;1009
2005;1;4;21;80.4;0;0;0;0;16;9;6;1.5;169;92;1009
2005;1;4;22;86.2;0;0;0;0;15.3;8.1;5;2.1;227;92;1009
2005;1;4;23;93.3;0;0;0;0;14.7;7.2;5;1.9;187;93;1010
2005;1;4;24;106;0;0;0;0;14;6.3;4;1.8;166;94;1010
2005;1;5;1;-168;0;0;0;0;13.3;5.4;4;3.3;154;95;1010
2005;1;5;2;-109.6;0;0;0;0;12.7;4.7;4;4;84;97;1010
2005;1;5;3;-95;0;0;0;0;12;3.7;3;3.3;7;97;1010
2005;1;5;4;-87.3;0;0;0;0;11.6;3.2;3;2.6;96;98;1011
2005;1;5;5;-81.4;0;0;0;0;11.3;2.6;2;4;150;99;1011
2005;1;5;6;-76.1;0;0;0;0;11;2.3;2;3.3;43;100;1011
2005;1;5;7;-70.2;0;0;0;0;10.8;1.8;1;4;100;100;1011
2005;1;5;8;-63.4;0.8;0;5;5;10.9;1.7;1;2.8;46;100;1011
2005;1;5;9;-55.5;12.2;88;66;154;13;3.4;0;2.4;187;96;1012
2005;1;5;10;-46.1;22.5;301;83;384;15.8;2.5;0;2.1;145;85;1012
2005;1;5;11;-33.6;31.1;419;149;568;18.5;2.5;0;1.6;175;71;1012
2005;1;5;12;-18.5;37;266;242;509;19.6;5.6;5;1.5;200;69;1012
2005;1;5;13;-1.3;39.4;269;258;527;20.4;6.2;5;1.5;212;66;1012
2005;1;5;14;16.1;37.7;148;285;433;20.7;7.5;6;2.3;219;66;1012
2005;1;5;15;31.4;32.3;13;222;235;20;10.1;8;2.1;169;70;1012
2005;1;5;16;44.2;24.1;2;148;150;19;10.2;8;2.1;183;74;1012
2005;1;5;17;54.3;14;0;60;60;17.8;10.6;8;2.8;191;78;1011
2005;1;5;18;62.3;2.7;0;3;3;16.5;10.2;8;3.7;146;84;1011
2005;1;5;19;69.2;0;0;0;0;16.1;10.7;8;3.7;73;89;1011
2005;1;5;20;75.1;0;0;0;0;15.7;10.6;8;2.3;72;91;1011
2005;1;5;21;80.4;0;0;0;0;15.3;10.8;8;3.5;164;95;1011
2005;1;5;22;86.3;0;0;0;0;15;10.8;8;3.5;104;97;1010
2005;1;5;23;93.3;0;0;0;0;14.6;10.8;8;3.1;80;100;1010
2005;1;5;24;106.2;0;0;0;0;14.2;10.5;8;3.3;123;100;1010
2005;1;6;1;-167.1;0;0;0;0;13.9;10.2;8;4.6;93;100;1010
2005;1;6;2;-110.4;0;0;0;0;13.6;9.6;8;4.9;15;97;1009
2005;1;6;3;-95.2;0;0;0;0;13.1;9.2;8;4.6;46;98;1009
2005;1;6;4;-87.4;0;0;0;0;12;8.2;8;4.4;49;99;1009
2005;1;6;5;-81.5;0;0;0;0;12.6;8.9;8;4.2;28;98;1009
2005;1;6;6;-76.1;0;0;0;0;13;9.3;8;4;12;97;1008
2005;1;6;7;-70.2;0;0;0;0;13;9.5;8;4.2;34;98;1008
2005;1;6;8;-63.5;0.7;0;2;2;13;9.7;8;4;48;98;1008
2005;1;6;9;-56;12.2;0;13;13;13.3;10.1;8;3.7;9;98;1008
2005;1;6;10;-46.2;22.5;0;28;28;13.3;9.9;8;2.6;70;97;1007
2005;1;6;11;-34.1;31.1;0;41;41;13.6;10.2;8;2.8;169;97;1007
2005;1;6;12;-18.6;37.1;0;49;49;13.9;10.5;8;3.5;171;97;1007
2005;1;6;13;-1.4;39.5;0;52;52;14.1;10.8;8;4.4;114;97;1007
2005;1;6;14;16;37.8;110;287;397;16;7;7;5;30;92;1007
2005;1;6;15;31.4;32.4;57;269;326;17;6.7;8;5.3;46;80;1007
2005;1;6;16;44.2;24.2;82;200;281;17.7;5.9;7;4.4;28;74;1007
2005;1;6;17;54.3;14.1;34;114;147;17.8;6.8;7;2.8;19;74;1007
2005;1;6;18;62.3;2.8;0;4;4;17.1;6;7;1.5;165;72;1007
2005;1;6;19;69.2;0;0;0;0;16.6;5.9;7;1.6;221;73;1007
2005;1;6;20;75.1;0;0;0;0;16.1;5.9;7;1;215;75;1007
2005;1;6;21;80.5;0;0;0;0;15.7;5.7;7;1.2;258;75;1007
2005;1;6;22;86.4;0;0;0;0;15.2;5.8;7;0.8;209;77;1007
2005;1;6;23;93.4;0;0;0;0;14.7;5.9;7;0.8;243;80;1007
2005;1;6;24;106.3;0;0;0;0;14.2;6.1;7;0.6;255;82;1007
2005;1;7;1;-166.3;0;0;0;0;13.6;5.6;7;0.6;301;82;1007
2005;1;7;2;-111.2;0;0;0;0;13;5.5;7;0.4;304;83;1007
2005;1;7;3;-95.4;0;0;0;0;12.4;5.9;8;0.5;309;89;1007
2005;1;7;4;-87.6;0;0;0;0;11.9;6.2;8;0.7;333;93;1008
2005;1;7;5;-81.6;0;0;0;0;11.9;6.5;8;0.8;273;93;1008
2005;1;7;6;-76.2;0;0;0;0;11.7;6.8;8;0.7;256;95;1008
2005;1;7;7;-70.3;0;0;0;0;11.5;7.2;8;0.5;308;97;1008
2005;1;7;8;-63.6;0.7;0;2;2;11.6;7.8;8;0.7;302;98;1008
2005;1;7;9;-56.1;12.2;0;16;16;11.9;7.9;8;0.7;270;95;1008
2005;1;7;10;-46.3;22.6;0;47;47;12.3;7.5;8;0.7;292;91;1008
2005;1;7;11;-34.2;31.2;0;59;59;12.6;7.6;8;0.8;272;89;1008
2005;1;7;12;-19.1;37.2;0;53;53;12.8;7.3;8;0.9;273;84;1008
2005;1;7;13;-1.4;39.6;0;152;152;13.4;6.6;8;0.7;237;84;1008
2005;1;7;14;15.6;37.9;260;264;524;15.5;0.1;5;1.1;235;64;1008
2005;1;7;15;31.4;32.6;253;198;450;16.9;0.9;4;1.3;221;60;1009
2005;1;7;16;44.2;24.4;184;136;321;17.4;2.1;4;0.8;200;60;1009
2005;1;7;17;54.3;14.3;117;66;183;17.5;1.8;4;1.1;260;57;1009
2005;1;7;18;62.4;3;0;9;9;16.6;0.7;4;1.2;257;56;1009
2005;1;7;19;69.2;0;0;0;0;15.8;0.3;3;1.6;191;59;1010
2005;1;7;20;75.2;0;0;0;0;14.9;-0.6;3;2.1;222;59;1010
2005;1;7;21;80.6;0;0;0;0;14;-1.4;3;1.8;178;60;1010
2005;1;7;22;86.4;0;0;0;0;13.1;-1.7;3;2.1;152;64;1011
2005;1;7;23;93.5;0;0;0;0;12.3;-2.3;2;1.9;172;66;1011
2005;1;7;24;106.5;0;0;0;0;11.4;-3;2;1.9;185;67;1011
2005;1;8;1;-165.5;0;0;0;0;10.4;-3.4;2;1.6;195;71;1011
2005;1;8;2;-111.6;0;0;0;0;9.4;-4.2;2;1.8;190;74;1012
2005;1;8;3;-95.6;0;0;0;0;8.4;-4.9;2;1.9;189;77;1012
2005;1;8;4;-88.1;0;0;0;0;7.9;-5.3;1;1.2;174;78;1012
2005;1;8;5;-82.1;0;0;0;0;7.3;-5.6;1;0.8;191;80;1012
2005;1;8;6;-76.3;0;0;0;0;7;-6.1;1;0.6;249;80;1013
2005;1;8;7;-70.4;0;0;0;0;6.6;-6.4;1;0.4;303;80;1013
2005;1;8;8;-64.1;0.7;0;5;5;6.7;-6.2;0;0.5;302;80;1013
2005;1;8;9;-56.2;12.2;93;58;151;8.9;-4.3;0;0.7;304;76;1013
2005;1;8;10;-46.4;22.6;263;78;341;11.5;-4.7;0;0.9;268;65;1014
2005;1;8;11;-34.3;31.2;378;105;484;13.9;-4.5;0;1.8;241;55;1014
2005;1;8;12;-19.2;37.3;473;121;594;16;-4;0;2.3;148;49;1014
2005;1;8;13;-1.5;39.7;414;181;595;17.4;-2.6;3;3.3;175;46;1014
2005;1;8;14;15.5;38.1;274;242;517;18;-1.7;5;4.4;73;44;1014
2005;1;8;15;31.4;32.7;302;165;467;18.3;-2.4;3;3.3;26;41;1014
2005;1;8;16;44.2;24.5;213;131;343;17.9;-1;3;1.8;104;46;1014
2005;1;8;17;54.3;14.4;100;76;176;16.8;-0.7;3;3.1;152;48;1014
2005;1;8;18;62.4;3.1;0;12;12;15;-1.3;3;3.3;99;54;1014
2005;1;8;19;69.3;0;0;0;0;14;-1.1;3;2.8;80;60;1014
2005;1;8;20;75.2;0;0;0;0;13.1;-1.6;3;2.4;122;63;1014
2005;1;8;21;81;0;0;0;0;12.1;-2;3;2.6;158;67;1014
2005;1;8;22;86.5;0;0;0;0;11.2;-2.8;3;4.2;131;69;1014
2005;1;8;23;94.1;0;0;0;0;10.2;-3.6;3;4.2;26;70;1014
2005;1;8;24;107;0;0;0;0;9.2;-4.4;3;5;25;72;1014
2005;1;9;1;-165.2;0;0;0;0;8.6;-4.2;3;4;18;78;1014
2005;1;9;2;-112.4;0;0;0;0;7.8;-4.2;3;4.6;31;84;1014
2005;1;9;3;-96.2;0;0;0;0;7.1;-4.3;3;4.6;43;89;1014
2005;1;9;4;-88.3;0;0;0;0;6.6;-5;2;4.2;35;88;1013
2005;1;9;5;-82.2;0;0;0;0;6.2;-5.5;2;3.7;10;88;1013
2005;1;9;6;-76.5;0;0;0;0;5.9;-6.5;2;3.1;54;83;1013
2005;1;9;7;-70.5;0;0;0;0;5.7;-6.7;2;4;98;85;1013
2005;1;9;8;-64.2;0.7;0;6;6;5.8;-6.2;2;4;31;87;1013
2005;1;9;9;-56.3;12.2;78;69;147;8;-4.4;2;2.8;75;81;1013
2005;1;9;10;-46.5;22.6;248;108;356;10.9;-4.5;2;3.5;105;72;1013
2005;1;9;11;-34.4;31.3;184;222;406;12.8;-3.8;6;3.7;75;58;1013
2005;1;9;12;-19.3;37.4;297;219;516;14.6;-2.8;4;4;61;56;1013
2005;1;9;13;-1.6;39.8;346;227;573;16.1;-1.7;4;3.1;106;55;1013
2005;1;9;14;15.5;38.2;93;296;389;16.3;0.3;7;2.4;176;52;1013
2005;1;9;15;31.4;32.9;151;248;399;16.4;-0.9;6;2.6;173;50;1013
2005;1;9;16;44.2;24.7;170;150;320;16.2;-1.9;5;2.3;144;48;1013
2005;1;9;17;54.3;14.6;67;90;157;15.1;-1.1;5;2.3;150;52;1012
2005;1;9;18;62.4;3.3;0;11;11;13.5;-1.4;4;3.7;155;58;1012
2005;1;9;19;69.3;0;0;0;0;12.8;-0.9;4;4.2;63;65;1012
2005;1;9;20;75.3;0;0;0;0;12.2;-0.9;4;4;18;69;1012
2005;1;9;21;81.1;0;0;0;0;11.5;-1.5;4;3.7;92;70;1012
2005;1;9;22;87;0;0;0;0;10.9;-1.7;4;3.5;76;74;1012
2005;1;9;23;94.2;0;0;0;0;10.2;-1.7;4;2.8;91;79;1012
2005;1;9;24;107.2;0;0;0;0;9.5;-2.1;4;3.1;129;82;1012
2005;1;10;1;-164.5;0;0;0;0;9.2;-3.2;4;2.8;168;78;1011
2005;1;10;2;-113.2;0;0;0;0;8.8;-3.7;3;4;126;78;1011
2005;1;10;3;-96.4;0;0;0;0;8.5;-4.2;3;2.8;39;78;1011
2005;1;10;4;-88.4;0;0;0;0;8.4;-3.6;3;2.3;177;82;1011
2005;1;10;5;-82.4;0;0;0;0;8.3;-3.5;3;2.6;191;84;1011
2005;1;10;6;-76.6;0;0;0;0;8.2;-3.1;3;3.1;139;88;1011
2005;1;10;7;-71;0;0;0;0;8.1;-2.8;3;2.8;102;91;1011
2005;1;10;8;-64.3;0.7;0;5;5;8.3;-2.4;3;2.4;132;93;1011
2005;1;10;9;-56.4;12.2;91;60;151;10.1;-1.1;3;2.6;156;87;1011
2005;1;10;10;-47;22.7;223;106;330;12.1;-0.7;3;4;146;83;1010
2005;1;10;11;-34.5;31.4;456;164;620;14.9;-2.6;2;5.3;15;71;1010
2005;1;10;12;-19.4;37.5;473;194;667;16.8;-0.6;3;4.4;42;65;1010
2005;1;10;13;-2.1;40;69;297;367;16.9;4.8;8;5.3;25;67;1010
2005;1;10;14;15.4;38.4;0;104;104;15.5;7.6;8;6.3;39;70;1010
2005;1;10;15;31.3;33;0;50;50;14.3;7.9;8;7.8;7;77;1010
2005;1;10;16;44.3;24.9;0;37;37;13.2;7;8;7.3;356;79;1010
2005;1;10;17;54.4;14.8;0;20;20;12.4;6.7;8;6;358;82;1010
2005;1;10;18;62.5;3.4;0;4;4;11.6;5.8;7;9.8;310;86;1010
2005;1;10;19;69.4;0;0;0;0;11.5;5.1;7;8.5;348;85;1010
2005;1;10;20;75.4;0;0;0;0;11.3;4.7;6;7.3;353;87;1010
2005;1;10;21;81.2;0;0;0;0;11.2;3.9;6;5.3;0;86;1010
2005;1;10;22;87.1;0;0;0;0;11.1;3.6;5;3.5;38;88;1010
2005;1;10;23;94.3;0;0;0;0;10.9;2.3;5;3.3;100;84;1010
2005;1;10;24;107.4;0;0;0;0;10.8;2.5;4;4;78;89;1010
2005;1;11;1;-164.2;0;0;0;0;10.4;1.2;4;3.5;102;87;1010
2005;1;11;2;-114.1;0;0;0;0;10;0.6;4;3.5;98;90;1010
2005;1;11;3;-97.1;0;0;0;0;9.6;-0.6;3;4;109;88;1010
2005;1;11;4;-88.6;0;0;0;0;9.4;-1.1;3;3.3;100;90;1010
2005;1;11;5;-82.5;0;0;0;0;9.2;-1.5;2;3.7;86;91;1010
2005;1;11;6;-77.1;0;0;0;0;9.1;-1.8;2;4.6;71;94;1010
2005;1;11;7;-71.1;0;0;0;0;9;-2.4;1;4.4;39;94;1010
2005;1;11;8;-64.4;0.7;2;22;24;9.7;-2.4;1;3.7;20;92;1010
2005;1;11;9;-56.5;12.2;137;57;194;11.8;-0.8;0;5.6;72;88;1010
2005;1;11;10;-47.1;22.7;307;59;366;14.1;-1;0;5.3;16;72;1010
2005;1;11;11;-35;31.4;417;90;506;16.1;0.1;0;4.6;32;67;1010
2005;1;11;12;-19.5;37.6;378;211;589;17.7;0.6;3;3.7;41;60;1010
2005;1;11;13;-2.1;40.1;52;295;347;17.8;4.1;8;4;98;57;1010
2005;1;11;14;15.4;38.6;45;264;309;17.7;4.2;8;2.1;33;56;1010
2005;1;11;15;31.3;33.2;0;51;51;16.2;7.3;8;5;182;61;1010
2005;1;11;16;44.3;25;0;37;37;15;6.9;8;5.3;47;66;1010
2005;1;11;17;54.4;14.9;0;20;20;14;5.6;8;5.6;18;65;1010
2005;1;11;18;62.5;3.6;0;4;4;13.1;4.6;8;7.3;9;66;1010
2005;1;11;19;69.4;0;0;0;0;12.7;4.9;8;6;358;71;1009
2005;1;11;20;75.4;0;0;0;0;12.2;4.6;8;5.3;342;73;1009
2005;1;11;21;81.2;0;0;0;0;11.8;4.4;8;4.9;10;76;1009
2005;1;11;22;87.2;0;0;0;0;11.4;4.4;8;4.9;42;80;1009
2005;1;11;23;94.4;0;0;0;0;11;3.9;8;4.6;55;80;1009
2005;1;11;24;108;0;0;0;0;10.6;4;8;5.3;23;85;1009
2005;1;12;1;-163.5;0;0;0;0;9.7;4.2;8;6.7;42;95;1009
2005;1;12;2;-114.6;0;0;0;0;8.5;2.9;8;6;3;96;1008
2005;1;12;3;-97.3;0;0;0;0;8.6;2.2;8;4.6;310;92;1008
2005;1;12;4;-89.1;0;0;0;0;8.4;1.7;8;3.5;19;91;1008
2005;1;12;5;-83;0;0;0;0;8;1.2;8;3.3;84;91;1008
2005;1;12;6;-77.2;0;0;0;0;7.8;1.2;8;3.3;87;94;1008
2005;1;12;7;-71.3;0;0;0;0;7.6;1;8;4;116;95;1008
2005;1;12;8;-64.5;0.7;0;2;2;7.7;0.9;8;2.3;36;95;1008
2005;1;12;9;-57;12.3;0;67;67;8.5;1.5;8;1.9;152;93;1008
2005;1;12;10;-47.2;22.7;2;139;141;9.4;1;8;1.9;172;85;1007
2005;1;12;11;-35.1;31.5;6;207;213;10.4;1.6;8;1.8;145;84;1007
2005;1;12;12;-19.6;37.7;7;234;241;11.1;2.5;8;1.2;240;84;1007
2005;1;12;13;-2.2;40.3;5;230;235;11.5;3.3;8;1.9;200;84;1007
2005;1;12;14;15.4;38.7;4;212;216;11.8;1.2;8;2.1;145;69;1007
2005;1;12;15;31.3;33.4;2;187;189;11.8;3.7;8;1.9;176;83;1007
2005;1;12;16;44.3;25.2;0;110;110;11.6;1.9;8;1.6;130;69;1008
2005;1;12;17;54.4;15.1;0;66;66;11.1;0.2;8;2.1;227;63;1008
2005;1;12;18;62.6;3.8;0;4;4;10.5;-0.1;8;2.8;183;66;1008
2005;1;12;19;69.5;0;0;0;0;9.7;-0.8;7;3.5;162;68;1008
2005;1;12;20;75.5;0;0;0;0;8.9;-1.6;7;1.9;96;70;1009
2005;1;12;21;81.3;0;0;0;0;8.2;-2.4;7;2.1;181;72;1009
2005;1;12;22;87.3;0;0;0;0;7.4;-3.1;7;1.5;169;75;1009
2005;1;12;23;94.6;0;0;0;0;6.6;-4;7;1;218;76;1009
2005;1;12;24;108.2;0;0;0;0;5.8;-4.6;7;0.5;287;80;1010
2005;1;13;1;-163.3;0;0;0;0;4.9;-5.9;6;0.8;319;80;1010
2005;1;13;2;-115.4;0;0;0;0;3.7;-7.3;6;1;265;82;1010
2005;1;13;3;-97.6;0;0;0;0;2.6;-8.5;6;1.6;284;84;1010
2005;1;13;4;-89.3;0;0;0;0;2;-9.4;6;2.8;198;84;1010
2005;1;13;5;-83.2;0;0;0;0;1.4;-10.4;6;2.4;161;85;1011
2005;1;13;6;-77.3;0;0;0;0;0.9;-11.1;5;3.1;194;85;1011
2005;1;13;7;-71.4;0;0;0;0;0.5;-12.5;5;3.7;116;81;1011
2005;1;13;8;-65;0.7;0;4;4;0.5;-12.4;5;3.3;73;83;1011
2005;1;13;9;-57.1;12.3;53;79;132;2.1;-10.8;5;2.8;94;82;1012
2005;1;13;10;-47.4;22.8;135;147;281;3.8;-10.6;5;3.3;150;75;1012
2005;1;13;11;-35.2;31.6;175;220;396;5.4;-10.2;5;3.3;83;68;1012
2005;1;13;12;-20.1;37.8;210;262;472;6.8;-10;5;2.4;108;62;1012
2005;1;13;13;-2.3;40.4;285;256;541;7.9;-9.6;5;2.3;189;60;1012
2005;1;13;14;15.3;38.9;247;261;508;8.6;-9.7;5;2.3;173;55;1013
2005;1;13;15;31.3;33.6;219;221;440;8.8;-10.1;5;1.8;159;51;1013
2005;1;13;16;44.3;25.4;76;198;274;8.3;-8.2;7;1.6;193;56;1013
2005;1;13;17;54.5;15.3;21;108;129;7.2;-7.5;6;1.8;184;59;1013
2005;1;13;18;63;3.9;0;4;4;5.8;-7.8;6;2.3;230;66;1013
2005;1;13;19;69.5;0;0;0;0;5.2;-8.1;6;4.2;175;69;1013
2005;1;13;20;75.6;0;0;0;0;4.7;-9;5;3.3;29;69;1013
2005;1;13;21;81.4;0;0;0;0;4.1;-9.1;5;2.6;77;73;1013
2005;1;13;22;87.4;0;0;0;0;3.6;-9.2;5;2.4;145;77;1013
2005;1;13;23;95.1;0;0;0;0;3;-9.4;4;3.7;173;82;1014
2005;1;13;24;108.5;0;0;0;0;2.5;-9.6;4;2.4;68;86;1014
2005;1;14;1;-163.1;0;0;0;0;2.4;-9.9;3;2.4;137;85;1014
2005;1;14;2;-116.3;0;0;0;0;2.5;-9.7;3;2.3;181;87;1014
2005;1;14;3;-98.2;0;0;0;0;2.6;-10;3;1;151;86;1014
2005;1;14;4;-89.5;0;0;0;0;2.6;-9.8;2;0.8;273;87;1014
2005;1;14;5;-83.3;0;0;0;0;2.7;-9.7;2;0.8;260;88;1014
2005;1;14;6;-77.4;0;0;0;0;2.8;-8.6;2;0.8;238;97;1014
2005;1;14;7;-71.5;0;0;0;0;2.8;-9;1;0.6;269;95;1014
2005;1;14;8;-65.1;0.7;0;6;6;3.1;-9.3;1;0.7;307;91;1014
2005;1;14;9;-57.2;12.3;107;55;162;6.1;-7.1;0;1;287;82;1015
2005;1;14;10;-47.5;22.9;261;82;343;9.3;-7;0;1.1;285;66;1015
